method,mean_error,max_error
Top n units,0.028953233727922547,0.39763325632101315
Linear decoder,0.012620422057807446,0.19674651324748993
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.03037180872243165,0.19253942849413622
Linear decoder,0.012620546855032444,0.12846727669239044
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.030582327815739347,0.23266430410237884
Linear decoder,0.012301375158131123,0.14582981169223785
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.03502340624489091,0.34548231676992847
Linear decoder,0.013371814042329788,0.15565155446529388
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.03015200369356435,0.18668837589914566
Linear decoder,0.012213592417538166,0.1555820256471634
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.030437962360394425,0.2681272028071744
Linear decoder,0.01206690352410078,0.13750509917736053
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.02857748974934311,0.15058365304148988
Linear decoder,0.01218398381024599,0.17067742347717285
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.03315498306849497,0.1654177447478687
Linear decoder,0.013090499676764011,0.15515445172786713
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.029619568657769522,0.2834908514884214
Linear decoder,0.014273679815232754,0.18657256662845612
Population decoding,0.025011574412677942,0.04419417382415922
Top n units,0.028503735771275577,0.1961852401227427
Linear decoder,0.011888029985129833,0.16937386989593506
Population decoding,0.025011574412677942,0.04419417382415922
